hour,area,cont,contour,hour_text
09,637,Port of Brisbane,30,09:00
09,164,Port of Brisbane,20,09:00
09,20,Port of Brisbane,10,09:00
10,643,Port of Brisbane,30,10:00
10,167,Port of Brisbane,20,10:00
10,20,Port of Brisbane,10,10:00
11,649,Port of Brisbane,30,11:00
11,170,Port of Brisbane,20,11:00
11,20,Port of Brisbane,10,11:00
12,643,Port of Brisbane,30,12:00
12,169,Port of Brisbane,20,12:00
12,20,Port of Brisbane,10,12:00
13,643,Port of Brisbane,30,13:00
13,170,Port of Brisbane,20,13:00
13,20,Port of Brisbane,10,13:00
14,609,Port of Brisbane,30,14:00
14,168,Port of Brisbane,20,14:00
14,20,Port of Brisbane,10,14:00
15,463,Port of Brisbane,30,15:00
15,143,Port of Brisbane,20,15:00
15,20,Port of Brisbane,10,15:00
16,412,Port of Brisbane,30,16:00
16,131,Port of Brisbane,20,16:00
16,20,Port of Brisbane,10,16:00
17,463,Port of Brisbane,30,17:00
17,144,Port of Brisbane,20,17:00
17,19,Port of Brisbane,10,17:00
18,645,Port of Brisbane,30,18:00
18,172,Port of Brisbane,20,18:00
18,20,Port of Brisbane,10,18:00
19,712,Port of Brisbane,30,19:00
19,187,Port of Brisbane,20,19:00
19,20,Port of Brisbane,10,19:00
20,712,Port of Brisbane,30,20:00
20,188,Port of Brisbane,20,20:00
20,20,Port of Brisbane,10,20:00
21,711,Port of Brisbane,30,21:00
21,192,Port of Brisbane,20,21:00
21,20,Port of Brisbane,10,21:00
22,719,Port of Brisbane,30,22:00
22,195,Port of Brisbane,20,22:00
22,20,Port of Brisbane,10,22:00
23,733,Port of Brisbane,30,23:00
23,192,Port of Brisbane,20,23:00
23,20,Port of Brisbane,10,23:00
00,1581,Crestmead,30,00:00
00,479,Crestmead,20,00:00
00,86,Crestmead,10,00:00
01,1540,Crestmead,30,01:00
01,490,Crestmead,20,01:00
01,84,Crestmead,10,01:00
02,1621,Crestmead,30,02:00
02,515,Crestmead,20,02:00
02,88,Crestmead,10,02:00
03,1650,Crestmead,30,03:00
03,515,Crestmead,20,03:00
03,92,Crestmead,10,03:00
04,1612,Crestmead,30,04:00
04,507,Crestmead,20,04:00
04,89,Crestmead,10,04:00
05,1483,Crestmead,30,05:00
05,470,Crestmead,20,05:00
05,87,Crestmead,10,05:00
06,1297,Crestmead,30,06:00
06,421,Crestmead,20,06:00
06,80,Crestmead,10,06:00
07,1166,Crestmead,30,07:00
07,389,Crestmead,20,07:00
07,74,Crestmead,10,07:00
08,1107,Crestmead,30,08:00
08,375,Crestmead,20,08:00
08,66,Crestmead,10,08:00
09,1244,Crestmead,30,09:00
09,385,Crestmead,20,09:00
09,66,Crestmead,10,09:00
10,1310,Crestmead,30,10:00
10,405,Crestmead,20,10:00
10,72,Crestmead,10,10:00
11,1352,Crestmead,30,11:00
11,405,Crestmead,20,11:00
11,74,Crestmead,10,11:00
12,1320,Crestmead,30,12:00
12,400,Crestmead,20,12:00
12,71,Crestmead,10,12:00
13,1325,Crestmead,30,13:00
13,407,Crestmead,20,13:00
13,73,Crestmead,10,13:00
14,1301,Crestmead,30,14:00
14,400,Crestmead,20,14:00
14,73,Crestmead,10,14:00
15,1224,Crestmead,30,15:00
15,372,Crestmead,20,15:00
15,66,Crestmead,10,15:00
16,1195,Crestmead,30,16:00
16,372,Crestmead,20,16:00
16,67,Crestmead,10,16:00
17,1263,Crestmead,30,17:00
17,399,Crestmead,20,17:00
17,73,Crestmead,10,17:00
18,1362,Crestmead,30,18:00
18,413,Crestmead,20,18:00
18,72,Crestmead,10,18:00
19,1470,Crestmead,30,19:00
19,425,Crestmead,20,19:00
19,74,Crestmead,10,19:00
20,1553,Crestmead,30,20:00
20,454,Crestmead,20,20:00
20,83,Crestmead,10,20:00
21,1536,Crestmead,30,21:00
21,447,Crestmead,20,21:00
21,76,Crestmead,10,21:00
22,1549,Crestmead,30,22:00
22,460,Crestmead,20,22:00
22,77,Crestmead,10,22:00
23,1562,Crestmead,30,23:00
23,493,Crestmead,20,23:00
23,86,Crestmead,10,23:00
00,475,Fremantle,30,00:00
00,147,Fremantle,20,00:00
00,15,Fremantle,10,00:00
01,514,Fremantle,30,01:00
01,153,Fremantle,20,01:00
01,15,Fremantle,10,01:00
02,400,Fremantle,30,02:00
02,101,Fremantle,20,02:00
02,5,Fremantle,10,02:00
03,502,Fremantle,30,03:00
03,154,Fremantle,20,03:00
03,14,Fremantle,10,03:00
04,503,Fremantle,30,04:00
04,157,Fremantle,20,04:00
04,16,Fremantle,10,04:00
05,425,Fremantle,30,05:00
05,127,Fremantle,20,05:00
05,11,Fremantle,10,05:00
06,398,Fremantle,30,06:00
06,117,Fremantle,20,06:00
06,10,Fremantle,10,06:00
07,344,Fremantle,30,07:00
07,107,Fremantle,20,07:00
07,10,Fremantle,10,07:00
08,308,Fremantle,30,08:00
08,93,Fremantle,20,08:00
08,9,Fremantle,10,08:00
09,361,Fremantle,30,09:00
09,103,Fremantle,20,09:00
09,11,Fremantle,10,09:00
10,350,Fremantle,30,10:00
10,100,Fremantle,20,10:00
10,11,Fremantle,10,10:00
11,339,Fremantle,30,11:00
11,99,Fremantle,20,11:00
11,9,Fremantle,10,11:00
12,328,Fremantle,30,12:00
12,93,Fremantle,20,12:00
12,9,Fremantle,10,12:00
13,353,Fremantle,30,13:00
13,100,Fremantle,20,13:00
13,9,Fremantle,10,13:00
14,344,Fremantle,30,14:00
14,100,Fremantle,20,14:00
14,10,Fremantle,10,14:00
15,324,Fremantle,30,15:00
15,93,Fremantle,20,15:00
15,9,Fremantle,10,15:00
16,317,Fremantle,30,16:00
16,94,Fremantle,20,16:00
16,8,Fremantle,10,16:00
17,316,Fremantle,30,17:00
17,92,Fremantle,20,17:00
17,8,Fremantle,10,17:00
18,387,Fremantle,30,18:00
18,111,Fremantle,20,18:00
18,9,Fremantle,10,18:00
19,385,Fremantle,30,19:00
19,109,Fremantle,20,19:00
19,8,Fremantle,10,19:00
20,389,Fremantle,30,20:00
20,118,Fremantle,20,20:00
20,10,Fremantle,10,20:00
21,400,Fremantle,30,21:00
21,119,Fremantle,20,21:00
21,10,Fremantle,10,21:00
22,426,Fremantle,30,22:00
22,126,Fremantle,20,22:00
22,10,Fremantle,10,22:00
23,443,Fremantle,30,23:00
23,139,Fremantle,20,23:00
23,13,Fremantle,10,23:00
00,1645,Cockburn,30,00:00
00,793,Cockburn,20,00:00
00,165,Cockburn,10,00:00
01,1662,Cockburn,30,01:00
01,792,Cockburn,20,01:00
01,163,Cockburn,10,01:00
02,1662,Cockburn,30,02:00
02,790,Cockburn,20,02:00
02,166,Cockburn,10,02:00
03,1670,Cockburn,30,03:00
03,805,Cockburn,20,03:00
03,161,Cockburn,10,03:00
04,1622,Cockburn,30,04:00
04,786,Cockburn,20,04:00
04,160,Cockburn,10,04:00
05,1557,Cockburn,30,05:00
05,764,Cockburn,20,05:00
05,151,Cockburn,10,05:00
06,1447,Cockburn,30,06:00
06,695,Cockburn,20,06:00
06,145,Cockburn,10,06:00
07,1347,Cockburn,30,07:00
07,631,Cockburn,20,07:00
07,124,Cockburn,10,07:00
08,1180,Cockburn,30,08:00
08,578,Cockburn,20,08:00
08,114,Cockburn,10,08:00
09,1378,Cockburn,30,09:00
09,645,Cockburn,20,09:00
09,122,Cockburn,10,09:00
10,1423,Cockburn,30,10:00
10,648,Cockburn,20,10:00
10,122,Cockburn,10,10:00
11,1405,Cockburn,30,11:00
11,641,Cockburn,20,11:00
11,117,Cockburn,10,11:00
12,1403,Cockburn,30,12:00
12,639,Cockburn,20,12:00
12,131,Cockburn,10,12:00
13,1424,Cockburn,30,13:00
13,678,Cockburn,20,13:00
13,131,Cockburn,10,13:00
14,1388,Cockburn,30,14:00
14,649,Cockburn,20,14:00
14,123,Cockburn,10,14:00
15,1324,Cockburn,30,15:00
15,608,Cockburn,20,15:00
15,113,Cockburn,10,15:00
16,1230,Cockburn,30,16:00
16,567,Cockburn,20,16:00
16,109,Cockburn,10,16:00
17,1259,Cockburn,30,17:00
17,595,Cockburn,20,17:00
17,127,Cockburn,10,17:00
18,1468,Cockburn,30,18:00
18,669,Cockburn,20,18:00
18,139,Cockburn,10,18:00
19,1577,Cockburn,30,19:00
19,720,Cockburn,20,19:00
19,133,Cockburn,10,19:00
20,1592,Cockburn,30,20:00
20,725,Cockburn,20,20:00
20,140,Cockburn,10,20:00
21,1616,Cockburn,30,21:00
21,755,Cockburn,20,21:00
21,146,Cockburn,10,21:00
22,1607,Cockburn,30,22:00
22,747,Cockburn,20,22:00
22,146,Cockburn,10,22:00
23,1632,Cockburn,30,23:00
23,748,Cockburn,20,23:00
23,151,Cockburn,10,23:00
